ID;Kuerzel;Land;Jahr;Latitude;Longitude;Bundesstaat;Verseuchung;Longitude,Latitude
1;US;Vereinigte Staaten;1945;35.89083330;-106.29750000;New Mexico;4.00;-106.2975,35.8908333
2;US;Vereinigte Staaten;1946;35.89083330;-106.29750000;New Mexico;4.00;-106.2975,35.8908333
3;US;Vereinigte Staaten;1949;46.52969444;-119.46869444;Washington;4.00;-119.468694444444,46.5296944444444
4;CA;Kanada;1952;46.01855556;-77.44866667;Chalk River;5.00;-77.4486666666666,46.0185555555555
5;US;Vereinigte Staaten;1955;43.51691667;-112.05783333;Idaho;4.00;-112.057833333333,43.5169166666666
6;RU;Russland;1957;54.40877778;22.01847222;Kyschtym;6.00;22.0184722222222,54.4087777777777
7;GB;Vereinigtes Koenigreich;1957;54.41861111;-3.49750000;Sellafield;5.00;-3.4975,54.4186111111111
8;US;Vereinigte Staaten;1958;35.89083333;-106.29750000;New Mexico;4.00;-106.2975,35.8908333333333
9;US;Vereinigte Staaten;1959;34.24005556;-118.77405556;Kalifornien;5.50;-118.774055555555,34.2400555555555
10;US;Vereinigte Staaten;1959;35.96636111;-84.25027778;Tennessee;3.50;-84.2502777777777,35.9663611111111
11;US;Vereinigte Staaten;1961;43.51691667;-112.05783333;Idaho;4.00;-112.057833333333,43.5169166666666
12;US;Vereinigte Staaten;1964;41.36666667;-71.66666667;Rhode Island;4.00;-71.6666666666666,41.3666666666666
13;RU;Russland;1964;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
14;RU;Russland;1965;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
15;RU;Russland;1966;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
16;RU;Russland;1967;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
17;RU;Russland;1968;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
18;RU;Russland;1969;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
19;RU;Russland;1970;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
20;RU;Russland;1971;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
21;RU;Russland;1972;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
22;RU;Russland;1973;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
23;RU;Russland;1974;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
24;RU;Russland;1975;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
25;RU;Russland;1976;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
26;RU;Russland;1977;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
27;RU;Russland;1978;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
28;RU;Russland;1979;56.85000000;61.31666667;Belojarsk;4.00;61.3166666666666,56.85
29;RU;Russland;1966;55.08530556;36.57405556;Melekess;3.50;36.5740555555555,55.0853055555555
30;US;Vereinigte Staaten;1966;41.96386111;-83.25880556;Michigan;4.00;-83.2588055555555,41.9638611111111
31;CH;Schweiz;1969;46.70806111;6.83888333;Lucens;4.50;6.83888333333333,46.7080611111111
32;US;Vereinigte Staaten;1969;39.89297222;-105.23227778;Colorado;4.50;-105.232277777777,39.8929722222222
33;GB;Vereinigtes Koenigreich;1973;54.41861111;-3.49750000;Sellafield;4.00;-3.4975,54.4186111111111
34;RU;Russland;1974;59.85211111;30.05119444;Leningrad;4.50;30.0511944444444,59.8521111111111
35;RU;Russland;1975;59.85211111;30.05119444;Leningrad;4.50;30.0511944444444,59.8521111111111
36;RU;Russland;1977;56.85000000;61.31666667;Belojarsk;5.00;61.3166666666666,56.85
37;SK;Slowakei;1977;48.49444444;17.68055556;Jaslovské Bohunice;4.00;17.6805555555555,48.4944444444444
38;RU;Russland;1978;56.85000000;61.31666667;Belojarsk;3.50;61.3166666666666,56.85
39;US;Vereinigte Staaten;1979;40.15472222;-76.72500000;Pennsylvania;5.00;-76.725,40.1547222222222
40;FR;Frankreich;1980;47.72055556;4.57861111;Saint-Laurent;4.00;4.57861111111111,47.7205555555555
41;UA;Ukraine;1982;51.38977778;30.09969444;Tschernobyl;5.00;30.0996944444444,51.3897777777777
42;AR;Argentinien;1983;-33.96333333;-59.18638889;Buenos Aires;4.00;-59.1863888888888,-33.9633333333333
43;RU;Russland;1985;43.11666667;131.90000000;Wladiwostok;5.00;131.9,43.1166666666666
44;US;Vereinigte Staaten;1986;35.54702778;-95.13180556;Oklahoma;3.00;-95.1318055555555,35.5470277777777
45;UA;Ukraine;1986;51.38977778;30.09969444;Tschernobyl;7.00;30.0996944444444,51.3897777777777
46;RU;Russland;1993;56.60000000;84.85000000;Sewersk;3.00;84.85,56.6
47;JP;Japan;1999;36.46638889;140.60666667;T?kai-mura;3.00;140.606666666666,36.4663888888888
48;BE;Belgien;2006;50.46666667;4.55000000;Fleurus;4.50;4.55,50.4666666666666
49;JP;Japan;2011;37.41666667;141.03250000;Fukushima;7.00;141.0325,37.4166666666666
