;;Bruttostromerzeugung in Terawattstunden;;;;;;;;;;;
Rang;Kuerzel;Land;1970;1980;1990;2000;2007;2008;2009;2010;2011;Anteil in %;Kumulation in %
1;CN;China;115.9;300.6;621.2;1368.5;3281.6;3466.9;3714.7;4207.7;4700.1;21.3;21.3
2;US;USA;1639.8;2354.4;3185.4;3990.5;4365.0;4325.4;4146.6;4331.1;4308.0;19.6;40.9
3;JP;Japan;359.5;577.5;841.1;1057.9;1180.1;1183.7;1114.0;1156.0;1104.2;5.0;45.9
4;RU;Russland;479.0;856.7;1082.2;877.8;1018.7;1040.0;993.1;1035.7;1051.6;4.8;50.7
5;IN;Indien;61.2;119.3;284.7;555.1;797.9;824.5;869.8;922.2;1006.2;4.6;55.3
6;DE;Deutschland;310.5;467.6;549.9;564.5;637.6;637.3;593.2;628.1;614.5;2.8;58.1
7;CA;Kanada;204.7;377.5;478.2;599.2;619.8;617.1;592.5;581.8;607.6;2.8;60.9
8;FR;Frankreich;147.0;245.7;420.2;540.8;570.0;574.6;542.4;573.2;564.3;2.6;62.5
9;KR;Suedkorea;10.5;37.0;118.7;295.2;425.4;442.6;452.4;495.7;520.1;2.4;65.9
10;BR;Brasilien;45.5;139.5;222.8;348.9;444.6;463.1;456.6;484.8;501.3;2.3;68.2
11;GB;Groﬂbritannien;255.8;285.1;319.7;377.1;396.8;388.7;376.7;381.1;365.3;1.7;69.9
12;IT;Italien;117.4;185.7;216.9;276.6;313.9;319.1;292.6;290.7;289.2;1.3;71.2
13;MX;Mexiko;28.7;67.0;122.4;204.4;257.3;261.8;261.0;270.8;289.0;1.3;72.5
14;ES;Spanien;56.5;110.3;151.7;224.8;312.2;317.9;296.3;303.0;279.7;1.3;73.8
15;ZA;Suedafrika;51.0;89.6;165.4;210.7;263.5;258.3;249.6;259.6;262.5;1.2;75.0
16;SA;Saudi-Arabien;6.0;20.5;70.1;126.2;190.5;204.2;217.1;240.3;254.5;1.2;76.2
17;TW;Taiwan;15.2;34.6;90.2;184.9;242.7;237.7;229.7;247.0;252.4;1.1;77.3
18;AU;Australien;53.9;96.3;155.9;213.4;250.9;257.7;259.5;255.9;264.1;1.2;78.5
19;IR;Iran;6.8;22.4;57.7;119.3;196.0;206.3;215.1;226.1;230.6;1.0;79.5
20;TR;Tuerkei;8.6;23.3;57.5;124.9;191.6;198.4;194.8;211.2;228.4;1.0;80.5
21;UA;Ukraine;131.9;235.9;298.5;169.0;195.1;191.7;172.9;187.9;193.9;0.9;81.4
22;ID;Indonesien;4.9;12.8;33.3;92.6;142.4;149.4;156.8;169.8;182.1;0.8;82.2
23;PL;Polen;64.5;121.9;136.4;145.2;159.3;155.3;151.7;157.7;163.0;0.7;82.9
24;SE;Schweden;60.6;93.4;146.5;145.8;155.6;156.9;143.7;156.0;157.4;0.7;83.6
25;TH;Thailand;4.0;13.6;46.2;96.0;142.5;145.4;145.9;156.4;151.6;0.7;84.3
26;EG;Aegypten;7.6;18.9;42.9;73.0;119.0;127.9;133.3;143.5;146.0;0.7;85.0
27;AR;Argentinien;21.7;39.7;50.9;89.0;120.8;125.1;123.9;128.8;135.1;0.6;85.6
28;NO;Norwegen;57.6;84.1;121.8;143.0;137.7;142.7;132.8;124.4;128.1;0.6;86.2
29;VE;Venezuela;12.7;35.9;61.2;89.5;115.0;120.7;124.8;116.7;123.1;0.6;86.8
30;MY;Malaysia;3.6;10.2;25.3;66.7;105.0;106.9;107.1;115.1;118.5;0.5;87.3
31;NL;Niederlande;40.9;64.8;71.9;89.5;105.2;108.2;113.5;118.1;112.7;0.5;87.8
32;VN;Vietnam;2.1;4.2;8.7;26.6;68.7;76.0;87.0;100.2;110.7;0.5;88.3
33;AE;Vereinigte Arabische Emirate;1.7;5.9;17.1;29.9;84.2;87.7;94.3;104.1;109.2;0.5;88.5
34;PK;Pakistan;4.5;14.5;46.0;64.7;98.8;92.5;95.0;88.8;89.1;0.4;88.9
35;CZ;Tschechien;32.7;52.5;62.6;73.5;88.2;83.5;82.3;85.9;87.6;0.4;89.7
36;KZ;Kasachstan;37.5;65.5;87.4;51.6;76.6;80.3;78.7;82.6;85.8;0.4;89.7
37;BE;Belgien;30.5;53.1;70.9;84.0;88.8;84.9;91.2;93.0;85.1;0.4;90.1
38;FI;Finnland;21.2;38.5;54.0;70.0;81.2;77.4;72.1;80.7;73.5;0.3;90.4
39;PH;Philippinen;6.8;17.1;26.3;45.3;59.6;60.8;61.9;67.7;69.1;0.3;90.7
40;CH;Schweiz;33.2;46.6;55.8;67.4;70.9;72.0;71.5;71.2;67.6;0.3;91.0
41;AT;Oesterreich;30.0;42.0;50.4;61.8;63.7;66.8;69.1;71.1;65.5;0.3;91.3
