;;Verbrauch in Terawattstunden;;;;;;
Rang (2009);Kuerzel;Land;2000;2005;2006;2007;2008;2009
1;US;USA;3592.4;3811.0;3816.8;3890.2;3865.2;3723.8
2;CN;China;1177.9;2195.1;2528.9;2833.2;3018.2;3253.2
3;JP;Japan;940.7;977.7;983.9;1009.0;966.4;934.3
4;RU;Russland;715.5;776.8;816.0;844.4;857.6;808.0
5;IN;Indien;375.4;483.3;531.5;590.6;626.5;637.6
6;DE;Deutschland;503.2;543.4;547.4;547.3;544.5;509.5
7;CA;Kanada;504.8;541.3;528.7;536.0;528.5;504.8
8;FR;Frankreich;409.8;449.9;445.2;447.2;460.2;451.4
9;BR;Brasilien;321.6;368.8;383.2;405.1;420.0;418.0
10;KR;Suedkorea;236.2;352.3;364.9;386.2;402.0;408.5
11;GB;Groﬂbritannien;335.4;352.5;349.9;347.6;344.3;325.8
12;IT;Italien;278.7;307.1;314.0;314.9;314.6;296.3
13;ES;Spanien;193.6;244.4;261.0;263.8;270.7;256.6
14;AU;Australien;182.9;212.4;214.2;220.2;225.3;228.8
15;ZA;Suedafrika;180.1;205.0;210.6;219.6;212.2;206.1
16;TW;Taiwan;163.4;199.7;205.5;215.3;212.7;203.8
17;MX;Mexiko;159.9;192.2;196.4;202.1;206.1;203.7
18;SA;Saudi-Arabien;109.5;147.0;156.8;163.4;174.2;186.1
19;IR;Iran;92.9;135.4;148.8;156.6;166.2;173.1
20;TR;Tuerkei;98.6;129.0;141.5;153.7;160.4;155.2
